ats_vendor,access_tier,ats_slug,cohort_reason,sector,sector_source,sector_confidence,sector_note,naics2,nyc_count,ny_state_count,total_count,remote_us_count,is_recruiter,sample_url
workday,1,blackrock|wd1|blackrock_professional,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,92,3,409,0,false,https://blackrock.wd1.myworkdayjobs.com/blackrock_professional/job/New-York-NY/XMLNAME-2027-Vet-Transition-Program----ACB_R263186
greenhouse,1,brex,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,91,0,375,0,false,https://www.brex.com/careers/7704444002?gh_jid=7704444002
lever,1,destinationknot,threshold: 5+ nyc postings,hospitality_food,agent,medium,"titles: hotel reservations, travel agency",72,89,89,672,0,false,https://jobs.lever.co/destinationknot/9104a659-db4f-4bf9-b0aa-83b5e62b5c99
greenhouse,1,point72,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,88,58,274,0,false,https://boards.greenhouse.io/point72/jobs/8250290002?gh_jid=8250290002
greenhouse,1,blankstreet,threshold: 5+ nyc postings,hospitality_food,agent,high,Blank Street Coffee,72,87,0,278,0,false,https://job-boards.greenhouse.io/blankstreet/jobs/7784241003
ashby,1,profound,threshold: 5+ nyc postings,ai,agent,medium,AI search visibility startup,54,87,0,97,0,false,https://jobs.ashbyhq.com/profound/0cdce451-6430-429f-8745-7450a045fab5
ashby,1,nory-co,threshold: 5+ nyc postings,education,agent,medium,"titles: STEM camps, education",61,86,86,89,0,false,https://jobs.ashbyhq.com/nory-co/1d59a907-88b3-4294-ad00-a750d771bd80
workday,1,rfcuny|wd108|rfcuny,threshold: 5+ nyc postings,education,agent,high,Research Foundation CUNY,61,86,0,86,0,false,https://rfcuny.wd108.myworkdayjobs.com/rfcuny/job/New-York-NY/Accounting-Intern_JR3668
greenhouse,1,mercury,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,84,0,84,80,false,https://job-boards.greenhouse.io/mercury/jobs/6167549004
greenhouse,1,icapitalnetwork,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,80,0,266,2,false,https://job-boards.greenhouse.io/icapitalnetwork/jobs/8562712002
workday,1,hss|wd1|hss_careers,threshold: 5+ nyc postings,healthcare,agent,high,Hospital for Special Surgery,62,80,4,107,0,false,https://hss.wd1.myworkdayjobs.com/hss_careers/job/New-York-NY/Accounts-Receivable-Representative-I_JR2026-104467
workday,1,capitalone|wd12|capital_one,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,77,10,2853,0,false,https://capitalone.wd12.myworkdayjobs.com/capital_one/job/New-York-NY/Administrative-Assistant-III--International-Acceptance_R248660-2
greenhouse,1,robinhood,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,71,0,187,0,false,https://boards.greenhouse.io/robinhood/jobs/8162157?t=gh_src=&gh_jid=8162157
lever,1,wearedream,threshold: 5+ nyc postings,education,agent,high,DREAM charter school,61,71,0,71,0,false,https://jobs.lever.co/wearedream/b9fd1003-51b1-4f8b-865b-88515a16b494
greenhouse,1,wppmedia,threshold: 5+ nyc postings,media_advertising,agent,high,known company,51,70,86,1757,0,false,https://job-boards.greenhouse.io/wppmedia/jobs/5389068008
workday,1,aresmgmt|wd1|external,threshold: 5+ nyc postings,fintech_finance,agent,high,Ares Management,52,70,0,244,0,false,https://aresmgmt.wd1.myworkdayjobs.com/external/job/New-York-NY/Administrative-Assistant_R7276
greenhouse,1,wehrtyou,threshold: 5+ nyc postings,fintech_finance,agent,high,Hudson River Trading,52,70,0,88,0,false,https://www.hudsonrivertrading.com/careers/job/?gh_jid=7972593
lever,1,veeva,threshold: 5+ nyc postings,software,agent,high,known company,51,69,0,1001,0,false,https://jobs.lever.co/veeva/fff25210-0673-4c3d-a5f1-2c02a146a037
ashby,1,claylabs,threshold: 5+ nyc postings,software,agent,high,"Clay, known GTM saas",51,69,69,95,0,false,https://jobs.ashbyhq.com/claylabs/53939c5e-9be7-4988-ba29-de526f7906ae
greenhouse,1,wundermanthompson,threshold: 5+ nyc postings,media_advertising,agent,high,VML agency,51,67,0,830,0,false,https://www.vml.com/careers/job/8417139002?gh_jid=8417139002
greenhouse,1,fanduel,threshold: 5+ nyc postings,software,agent,high,known sports betting platform,51,67,0,136,0,false,https://www.fanduel.careers/open-positions?gh_jid=8177066
greenhouse,1,fanaticsfbg,threshold: 5+ nyc postings,software,agent,high,Fanatics Betting & Gaming,51,66,0,116,0,false,https://job-boards.greenhouse.io/fanaticsfbg/jobs/4258863009
workday,1,dowjones|wd1|new_york_post_careers,threshold: 5+ nyc postings,media_advertising,agent,high,New York Post,51,66,0,85,0,false,https://dowjones.wd1.myworkdayjobs.com/new_york_post_careers/job/NYC---1211-Ave-of-the-Americas/Advertising-Operations-Intern_Job_Req_54264
workday,1,lowes|wd5|lws_external_cs,threshold: 5+ nyc postings,retail,agent,high,known company,44,63,1163,31236,0,false,https://lowes.wd5.myworkdayjobs.com/lws_external_cs/job/Brooklyn-NY-Kings-Plaza-2284/Asset-Protection---Safety-Mgr_JR-02620671-1
greenhouse,1,okta,threshold: 5+ nyc postings,software,agent,high,known company,51,63,0,511,0,false,https://www.okta.com/company/careers/opportunity/8031094?gh_jid=8031094
greenhouse,1,fanaticscollectibles,threshold: 5+ nyc postings,consumer_goods,agent,high,Fanatics Collectibles,31,63,0,230,0,false,https://job-boards.greenhouse.io/fanaticscollectibles/jobs/4250294009
greenhouse,1,gusto,threshold: 5+ nyc postings,software,agent,high,known company,51,63,2,137,8,false,https://job-boards.greenhouse.io/gusto/jobs/7728150
lever,1,insomniacookies,threshold: 5+ nyc postings,hospitality_food,agent,high,known company,72,62,41,1408,0,false,https://jobs.lever.co/insomniacookies/29f3fc05-2e5d-4e39-b867-c9e0234cedc7
greenhouse,1,mongodb,threshold: 5+ nyc postings,software,agent,high,known company,51,62,0,546,0,false,https://www.mongodb.com/careers/job/?gh_jid=8014547
greenhouse,1,thetradedesk,threshold: 5+ nyc postings,software,agent,high,known adtech platform,51,62,98,280,0,false,https://job-boards.greenhouse.io/thetradedesk/jobs/5187605007
ashby,1,dualentry,threshold: 5+ nyc postings,ai,agent,medium,AI ERP startup,54,61,0,83,1,false,https://jobs.ashbyhq.com/dualentry/9c2dd0df-64a4-47aa-b434-668b4d51fd31
paylocity,2,Network Temp Inc,threshold: 5+ nyc postings,staffing,agent,high,temp agency by name,56,61,8,82,0,false,https://recruiting.paylocity.com/recruiting/Jobs/Details/2858318
workday,1,horizonmedia|wd1|careeropportunities,threshold: 5+ nyc postings,media_advertising,agent,high,known media agency,51,61,0,81,0,false,https://horizonmedia.wd1.myworkdayjobs.com/careeropportunities/job/New-York-New-York/Senior-Account-Executive_R0017204
lever,1,spotify,threshold: 5+ nyc postings,media_advertising,agent,high,known company,51,60,0,148,0,false,https://jobs.lever.co/spotify/a0fa7da3-4c3c-4fa2-97bd-7d6eb01eb9e5
greenhouse,1,vercel,threshold: 5+ nyc postings,software,agent,high,known company,51,60,0,104,7,false,https://job-boards.greenhouse.io/vercel/jobs/5624231004
workday,1,ing|wd3|icsgblcor,threshold: 5+ nyc postings,fintech_finance,agent,high,ING bank,52,59,59,1244,0,false,https://ing.wd3.myworkdayjobs.com/icsgblcor/job/New-York/ABS-Syndicate-Specialist--IG-DCM---Vice-President_REQ-10117988
greenhouse,1,urbancompass,threshold: 5+ nyc postings,real_estate_proptech,agent,high,Compass brokerage,53,58,1,326,0,false,https://www.compass.com/careers?gh_jid=8042541
greenhouse,1,roku,threshold: 5+ nyc postings,media_advertising,agent,high,known company,51,58,0,315,0,false,https://www.weareroku.com/jobs/7874146?gh_jid=7874146
workday,1,healthfirst|wd1|healthfirst,threshold: 5+ nyc postings,healthcare,agent,high,known health insurer,62,58,29,129,0,false,https://healthfirst.wd1.myworkdayjobs.com/healthfirst/job/New-York-NY/Alfresco-Solution-Architect_R022189
ashby,1,rogo,threshold: 5+ nyc postings,ai,agent,high,known finance AI,54,58,0,85,0,false,https://jobs.ashbyhq.com/rogo/9d880dc3-697d-4865-81c6-5bd4cb33e4b6
greenhouse,1,spsnorthamerica,threshold: 5+ nyc postings,professional_services,agent,medium,SPS outsourced office services,54,57,6,201,0,false,https://job-boards.greenhouse.io/spsnorthamerica/jobs/5409452008
workday,1,blackstone|wd1|bx_external_site,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,57,58,110,0,false,https://blackstone.wd1.myworkdayjobs.com/bx_external_site/job/New-York/XMLNAME-2027-Blackstone-Credit---Insurance-Analyst_44389
workday,1,rumcsi|wd5|rumc,threshold: 5+ nyc postings,healthcare,agent,high,Richmond University Medical Center,62,56,0,67,0,false,https://rumcsi.wd5.myworkdayjobs.com/rumc/job/Richmond-University-Medical-Center-Staten-Island-NY/Admit-Clerical_JR102490
workday,1,disney|wd5|disneycareer,threshold: 5+ nyc postings,media_advertising,agent,high,known company,51,55,1,1259,9,false,https://disney.wd5.myworkdayjobs.com/disneycareer/job/New-York-NY-USA/ABC-News-Insights-and-Analytics-Intern--Spring-2027_10158500
greenhouse,1,sohohouseco,threshold: 5+ nyc postings,hospitality_food,agent,high,known company,72,55,0,682,0,false,https://job-boards.eu.greenhouse.io/sohohouseco/jobs/4926215101
greenhouse,1,tripactions,threshold: 5+ nyc postings,software,agent,high,Navan,51,55,0,294,10,false,https://navan.com/careers/openings?gh_jid=6913446
workday,1,yai|wd5|careers,threshold: 5+ nyc postings,nonprofit_social_services,agent,high,known disability nonprofit,62,55,1,114,0,false,https://yai.wd5.myworkdayjobs.com/careers/job/Manhattan/Application-Manager---Digital-Agency_R025035
greenhouse,1,axon,threshold: 5+ nyc postings,industrial_construction,agent,high,"known hardware, public safety",23,54,10,776,12,false,https://job-boards.greenhouse.io/axon/jobs/7612314003
greenhouse,1,duolingo,threshold: 5+ nyc postings,education,agent,high,known company,61,53,0,116,0,false,https://careers.duolingo.com/jobs/8621574002?gh_jid=8621574002
greenhouse,1,alphasense,threshold: 5+ nyc postings,software,agent,high,known company,51,52,0,314,71,false,https://job-boards.greenhouse.io/alphasense/jobs/8393285002
greenhouse,1,gongio,threshold: 5+ nyc postings,software,agent,high,known company,51,52,0,136,10,false,https://job-boards.greenhouse.io/gongio/jobs/4696734006
greenhouse,1,foratravel,threshold: 5+ nyc postings,hospitality_food,agent,medium,Fora travel agency platform,72,52,1,54,2,false,https://www.foratravel.com/careers/jobs?gh_jid=5302638008
workday,1,asmglobal|wd1|careers,threshold: 5+ nyc postings,hospitality_food,agent,high,"venue management, titles: food service",72,51,114,2215,6,false,https://asmglobal.wd1.myworkdayjobs.com/careers/job/New-York-NY/Cook---Central-Park-Boathouse_R100121547-1
workday,1,mizuho|wd1|mizuhoamericas,threshold: 5+ nyc postings,fintech_finance,agent,high,known bank,52,51,0,63,0,false,https://mizuho.wd1.myworkdayjobs.com/mizuhoamericas/job/NYC-1285/AI--Analytics---RPA-Support-SRE-Manager_R7316-2
workday,1,verizon|wd12|verizon-careers,threshold: 5+ nyc postings,industrial_construction,agent,high,known telecom utility,23,50,67,2025,0,false,https://verizon.wd12.myworkdayjobs.com/verizon-careers/job/Staten-Island-New-York/Account-Manager-SMB--Business-Sales_R-1096525
ashby,1,plaid,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,50,0,138,6,false,https://jobs.ashbyhq.com/plaid/f0c4f288-9fca-4daf-ba42-7d0e971b5efe
greenhouse,1,via,threshold: 5+ nyc postings,logistics_delivery,agent,high,Via transit,48,49,11,215,9,false,https://job-boards.greenhouse.io/via/jobs/8508287002
greenhouse,1,codeandtheory,threshold: 5+ nyc postings,media_advertising,agent,high,known digital agency,51,49,0,67,22,false,https://www.codeandtheory.com/careers/8606150002?gh_jid=8606150002
greenhouse,1,flex,threshold: 5+ nyc postings,fintech_finance,agent,medium,Flex rent payments fintech,52,49,0,66,0,false,https://job-boards.greenhouse.io/flex/jobs/4721341005
lever,1,gopuff,threshold: 5+ nyc postings,logistics_delivery,agent,high,known company,48,48,7,849,0,false,https://jobs.lever.co/gopuff/00ef3c7c-e0aa-4d49-9313-0dc65d7c352b
greenhouse,1,bondvet,threshold: 5+ nyc postings,healthcare,agent,high,veterinary clinics,62,48,6,143,0,false,https://job-boards.greenhouse.io/bondvet/jobs/6139903004
paylocity,2,Vocational Instruction Project Community Services,threshold: 5+ nyc postings,nonprofit_social_services,agent,high,VIP Community Services,62,48,0,53,0,false,https://recruiting.paylocity.com/recruiting/Jobs/Details/4106357
greenhouse,1,mrbeastyoutube,threshold: 5+ nyc postings,media_advertising,agent,high,known creator company,51,47,1,114,1,false,https://job-boards.greenhouse.io/mrbeastyoutube/jobs/6149669004
greenhouse,1,usenourish,threshold: 5+ nyc postings,healthcare,agent,high,Nourish dietitian telehealth,62,47,1,105,0,false,https://job-boards.greenhouse.io/usenourish/jobs/5390769008
greenhouse,1,charlesriverassociates,threshold: 5+ nyc postings,professional_services,agent,high,known consulting,54,47,0,97,0,false,https://job-boards.greenhouse.io/charlesriverassociates/jobs/8054054
ashby,1,kalshi,threshold: 5+ nyc postings,crypto,agent,high,known prediction market,52,47,47,51,0,false,https://jobs.ashbyhq.com/kalshi/c3b90847-4936-4f09-8960-0c960be3aad6
greenhouse,1,pinterest,threshold: 5+ nyc postings,software,agent,high,known company,51,46,1,323,142,false,https://www.pinterestcareers.com/jobs/?gh_jid=8022863
ashby,1,fluidstack,threshold: 5+ nyc postings,ai,agent,high,known AI cloud infra,54,46,1,315,0,false,https://jobs.ashbyhq.com/fluidstack/bb02090e-e546-4a12-91f6-24f83db69cb3
greenhouse,1,gemini,threshold: 5+ nyc postings,crypto,agent,high,known exchange,52,46,0,52,31,false,https://boards.greenhouse.io/embed/job_app?for=gemini&token=7976989&gh_jid=7976989
greenhouse,1,medelitellc,threshold: 5+ nyc postings,healthcare,agent,medium,"titles: clinicians, medical staffing",62,45,110,596,0,false,https://job-boards.greenhouse.io/medelitellc/jobs/4815180008
greenhouse,1,sonymusicentertainment,threshold: 5+ nyc postings,media_advertising,agent,high,known company,51,45,0,256,3,false,https://job-boards.greenhouse.io/sonymusicentertainment/jobs/8700562002
greenhouse,1,examplecorpsandbox,threshold: 5+ nyc postings,unknown,agent,low,greenhouse demo sandbox board,,45,8,241,2,false,https://job-boards.greenhouse.io/examplecorpsandbox/jobs/6531739
greenhouse,1,zocdoc,threshold: 5+ nyc postings,software,agent,high,"known company, healthcare marketplace",51,45,0,70,18,false,https://job-boards.greenhouse.io/zocdoc/jobs/8002903
greenhouse,1,clear,threshold: 5+ nyc postings,software,agent,high,"known company, identity verification",51,45,0,51,0,false,https://job-boards.greenhouse.io/clear/jobs/8154616
greenhouse,1,animalmedicalcenter,threshold: 5+ nyc postings,healthcare,agent,medium,veterinary hospital,62,45,0,45,0,false,https://job-boards.greenhouse.io/animalmedicalcenter/jobs/5240504008
greenhouse,1,hellofresh,threshold: 5+ nyc postings,hospitality_food,agent,high,"known company, meal kits",72,44,0,664,0,false,https://careers.hellofresh.com/global/en/job/8140375?gh_jid=8140375
ashby,1,alpacahealth,threshold: 5+ nyc postings,healthcare,agent,high,titles: ABA therapy providers,62,44,0,441,11,false,https://jobs.ashbyhq.com/alpacahealth/5c4ab38e-23a2-4179-9c3e-1ce3a82caff1
greenhouse,1,ripple,threshold: 5+ nyc postings,crypto,agent,high,known company,52,44,0,177,0,false,https://ripple.com/careers/all-jobs/job/7462072?gh_jid=7462072
ashby,1,rain,threshold: 5+ nyc postings,crypto,agent,medium,stablecoin card issuer,52,44,0,53,0,false,https://jobs.ashbyhq.com/rain/089a847f-4985-4c18-80d3-7d46e73acdd4
ashby,1,permitflow,threshold: 5+ nyc postings,software,agent,high,construction permitting saas,51,44,0,53,0,false,https://jobs.ashbyhq.com/permitflow/08035d47-a610-4a5a-92bc-105ae3d18fc8
greenhouse,1,addepar1,threshold: 5+ nyc postings,software,agent,high,"known company, wealth software",51,43,0,171,26,false,https://job-boards.greenhouse.io/addepar1/jobs/8709085002
workday,1,blackstone|wd1|blackstone_careers,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,43,44,96,0,false,https://blackstone.wd1.myworkdayjobs.com/blackstone_careers/job/New-York/AI-Engineer--Analyst---Data-Analytics---AI_45238-1
ashby,1,suno,threshold: 5+ nyc postings,ai,agent,high,"known company, music ai",54,43,0,85,0,false,https://jobs.ashbyhq.com/suno/4c4563b4-7e53-44cf-a261-7515fe575337
greenhouse,1,krollbondratingagency,threshold: 5+ nyc postings,fintech_finance,agent,high,known rating agency,52,43,1,62,0,true,https://job-boards.greenhouse.io/krollbondratingagency/jobs/8396316002
paylocity,2,ACMH INC,threshold: 5+ nyc postings,nonprofit_social_services,agent,high,supportive housing nonprofit,62,43,12,55,0,false,https://recruiting.paylocity.com/recruiting/Jobs/Details/4254067
ashby,1,tabs,threshold: 5+ nyc postings,software,agent,medium,billing saas startup,51,43,0,44,1,false,https://jobs.ashbyhq.com/tabs/184e9cff-bd50-415b-ba09-32851939cfa0
ashby,1,knowledge-road,threshold: 5+ nyc postings,education,agent,medium,"titles: SETSS, related services",61,43,10,43,0,false,https://jobs.ashbyhq.com/knowledge-road/fadfd2f5-b756-4fab-b264-3625aea25b9b
greenhouse,1,democracypreppublicschools,threshold: 5+ nyc postings,education,agent,high,charter network,61,43,0,43,0,false,https://job-boards.greenhouse.io/democracypreppublicschools/jobs/7818516
ashby,1,basis-ai,threshold: 5+ nyc postings,ai,agent,medium,ai for accounting firms,54,43,43,43,0,false,https://jobs.ashbyhq.com/basis-ai/1f44e648-0494-498e-a652-8e4a817362a2
greenhouse,1,garnerhealth,threshold: 5+ nyc postings,healthcare,agent,medium,health navigation benefits,62,42,0,100,1,false,https://job-boards.greenhouse.io/garnerhealth/jobs/6141361004
greenhouse,1,bseglobal,threshold: 5+ nyc postings,media_advertising,agent,high,"Brooklyn Nets, Barclays Center",51,42,2,44,0,false,https://bkse.com/careers/job/7813871003?gh_jid=7813871003&gh_jid=7813871003
greenhouse,1,gersonlehrmangroup,threshold: 5+ nyc postings,professional_services,agent,high,known expert network,54,41,41,155,1,false,https://glginsights.com/careers/jobs/7894122003?gh_jid=7894122003
greenhouse,1,vanleeuwenicecream,threshold: 5+ nyc postings,hospitality_food,agent,high,known company,72,41,3,118,0,false,https://vanleeuwenicecream.com/jobs/?gh_jid=4805414008
paylocity,2,Young Womens Christian Association of the City of,threshold: 5+ nyc postings,nonprofit_social_services,agent,high,YWCA,62,41,0,41,0,false,https://recruiting.paylocity.com/recruiting/Jobs/Details/4255090
greenhouse,1,betterment,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,41,0,41,0,false,https://www.betterment.com/careers/current-openings/job?gh_jid=8050912&gh_jid=8050912
greenhouse,1,mbooth,threshold: 5+ nyc postings,media_advertising,agent,high,PR agency,51,41,0,41,0,false,https://job-boards.greenhouse.io/mbooth/jobs/8760768002
greenhouse,1,waymo,threshold: 5+ nyc postings,ai,agent,medium,autonomous driving,54,40,0,472,10,false,https://careers.withwaymo.com/jobs?gh_jid=8074506
workday,1,shm|wd5|summit_citymd,threshold: 5+ nyc postings,healthcare,agent,high,Summit Health CityMD,62,40,77,402,0,false,https://shm.wd5.myworkdayjobs.com/summit_citymd/job/New-York-NY/Medical-Assistant---Internal-Medicine_R53545
workday,1,spgi|wd5|spgi_internal,threshold: 5+ nyc postings,fintech_finance,agent,high,S&P Global,52,40,1,339,0,false,https://spgi.wd5.myworkdayjobs.com/spgi_internal/job/New-York-NY/Associate-Channel-Manager_330197
greenhouse,1,konradgroup,threshold: 5+ nyc postings,professional_services,agent,high,digital consultancy,54,40,40,190,0,false,https://www.konrad.com/careers/job/7895525003?gh_jid=7895525003
greenhouse,1,cookunity,threshold: 5+ nyc postings,hospitality_food,agent,high,meal delivery kitchens,72,40,0,175,14,false,https://careers.cookunity.com/open-roles?gh_jid=7507604003
greenhouse,1,pmg,threshold: 5+ nyc postings,media_advertising,agent,high,digital marketing agency,51,40,1,86,0,false,https://job-boards.greenhouse.io/pmg/jobs/8496729002
greenhouse,1,majorleaguebaseball,threshold: 5+ nyc postings,media_advertising,agent,high,known company,51,40,0,82,4,false,https://www.mlb.com/careers/opportunities?gh_jid=8013966
greenhouse,1,morganmorganjobsapplynow,threshold: 5+ nyc postings,professional_services,agent,high,law firm,54,39,10,787,0,false,https://job-boards.greenhouse.io/morganmorganjobsapplynow/jobs/6098095004
greenhouse,1,lyft,threshold: 5+ nyc postings,software,agent,high,known company,51,39,0,257,0,false,https://app.careerpuck.com/job-board/lyft/job/8608881002?gh_jid=8608881002
greenhouse,1,peloton,threshold: 5+ nyc postings,consumer_goods,agent,high,known company,31,39,0,86,0,false,https://careers.onepeloton.com/en/all-jobs/?gh_jid=7996674
greenhouse,1,thefarmersdog,threshold: 5+ nyc postings,consumer_goods,agent,high,dtc pet food,31,39,0,46,4,false,https://job-boards.greenhouse.io/thefarmersdog/jobs/8622318002
greenhouse,1,databricks,threshold: 5+ nyc postings,software,agent,high,known company,51,38,31,1072,7,false,https://databricks.com/company/careers/open-positions/job?gh_jid=8632401002
greenhouse,1,guidepoint,threshold: 5+ nyc postings,professional_services,agent,high,expert network,54,38,0,165,0,false,https://job-boards.greenhouse.io/guidepoint/jobs/8533574002
workday,1,athene|wd5|apollononpubliccareersite,threshold: 5+ nyc postings,fintech_finance,agent,high,Apollo Athene,52,38,2,143,0,false,https://athene.wd5.myworkdayjobs.com/apollononpubliccareersite/job/New-York-New-York/XMLNAME-2026-Sophomore-Summer-Analyst--Engineering_R254078
