"ats_vendor","ats_slug","sector","confidence","note"
"ashby","garage","software","medium","fire equipment marketplace"
"ashby","generalintelligencecompany","ai","medium","agent AI titles"
"ashby","generate","industrial_construction","high","known Generate Capital energy"
"ashby","gigaml","ai","high","known AI support agents"
"ashby","glide","software","high","no-code platform"
"ashby","glimpse","software","low","unrecognized, generic gtm titles"
"ashby","govwell","software","medium","govtech software"
"ashby","gradient-labs","ai","high","known AI support agents"
"ashby","granted","ai","medium","AI healthcare claims agents"
"ashby","graphite","software","high","known dev tools"
"ashby","greenlitecareers","software","low","unrecognized, permitting saas"
"ashby","handshake","software","high","known company"
"ashby","hanover-park","software","low","unrecognized, fund ops startup"
"ashby","harvey","ai","high","known legal AI"
"ashby","hatch","ai","medium","titles: ai agents"
"ashby","haus","software","medium","marketing measurement saas"
"ashby","hellohera","healthcare","medium","titles: cmo, patient enrollment"
"ashby","hellopatient","ai","medium","AI agents for clinics"
"ashby","herondata","software","medium","fintech data saas"
"ashby","higharc","software","high","known homebuilding software"
"ashby","highbeam","fintech_finance","high","known company"
"ashby","horizon3ai","software","high","known security software"
"ashby","hyperexponential","software","high","known insurance pricing saas"
"ashby","imprint","fintech_finance","high","known co-branded cards"
"ashby","incident","software","high","known company"
"ashby","inductive-bio","biotech_pharma","medium","titles: medicinal chemist"
"ashby","industrious","real_estate_proptech","high","known company, coworking"
"ashby","interplay","software","low","venture studio, generic titles"
"ashby","january","fintech_finance","high","known company, debt collection"
"ashby","jellyfishcareers","media_advertising","high","known digital marketing agency"
"ashby","jobs-page-4dc2685b-eb82-46d1-a3f9-1f0764dba814","staffing","medium","multi-company counsel job aggregator"
"ashby","jobs-valence","ai","medium","AI leadership coaching"
"ashby","joyfulhealth","software","medium","health tech startup"
"ashby","junior","ai","low","unrecognized, AI deployment titles"
"ashby","kaizenlabs","government_public","medium","titles: federal growth, TS/SCI"
"ashby","kalshi","crypto","high","known prediction market"
"ashby","kira","education","medium","ai learning, curriculum titles"
"ashby","knot","software","high","known card-on-file API"
"ashby","knowledge-road","education","medium","titles: SETSS, related services"
"ashby","kombo","software","high","known HR integrations API"
"ashby","kustomer","software","high","known CRM saas"
"ashby","lai","ai","low","titles: ML, research scientist"
"ashby","langchain","ai","high","known ai infra"
"ashby","latent","ai","medium","healthcare AI"
"ashby","laurel","ai","medium","known AI timekeeping"
"ashby","leadbank","fintech_finance","high","known bank"
"ashby","legora","ai","high","known legal AI"
"ashby","levelpath","software","medium","procurement saas"
"ashby","lgads","software","high","lg ad solutions adtech"
"ashby","linkup","ai","high","known AI web search API"
"ashby","listenlabs","ai","high","known AI research interviews"
"ashby","lm-studio","ai","high","known company"
"ashby","lovable","ai","high","known AI app builder"
"ashby","madecard","fintech_finance","medium","titles: credit and fraud risk"
"ashby","madhive","software","high","known CTV adtech"
"ashby","maple","software","medium","startup, generic titles"
"ashby","maybern","fintech_finance","medium","fund finance software"
"ashby","mednet","software","medium","physician knowledge platform"
"ashby","mercor","ai","high","known company"
"ashby","metaview","ai","medium","known AI interview notes"
"ashby","method","fintech_finance","medium","method financial api"
"ashby","middesk","software","high","known company"
"ashby","mintlify","software","high","known dev tools"
"ashby","mirage","ai","high","generative video research"
"ashby","miter","software","high","construction payroll saas"
"ashby","modal","ai","high","known ai infra"
"ashby","modernfi","fintech_finance","high","bank deposit network"
"ashby","moment","fintech_finance","medium","known bond trading infra"
"ashby","moonshot-ai","ai","medium","AI company slug"
"ashby","mosaic","software","low","unrecognized, generic titles"
"ashby","mubi","media_advertising","high","known film streaming"
"ashby","mutiny","software","high","known ABM marketing saas"
"ashby","n1","crypto","medium","N1 blockchain, rust engineers"
"ashby","neara","software","high","known utility network modeling saas"
"ashby","nectar-social","software","medium","social commerce AI saas"
"ashby","neko-health","healthcare","high","preventive health clinics"
"ashby","nelo","fintech_finance","high","known BNPL lender"
"ashby","nen-creative","media_advertising","medium","titles: agency producer"
"ashby","nerdwallet","fintech_finance","high","known company"
"ashby","nevis","ai","medium","titles: applied AI, FDE"
"ashby","newform","media_advertising","medium","titles: UGC video, content"
"ashby","nexxen","media_advertising","high","known adtech"
"ashby","norm-ai","ai","high","known legal AI"
"ashby","normalcomputing","ai","high","known AI company"
"ashby","nory-co","education","medium","titles: STEM camps, education"
"ashby","notabene","crypto","high","known crypto compliance"
"ashby","notion","software","high","known company"
"ashby","novel","software","low","unrecognized, generic titles"
"ashby","numeric","software","high","known accounting saas"
"ashby","offdeal","fintech_finance","medium","AI investment bank titles"
"ashby","office-hours","professional_services","high","known expert network"
"ashby","omnea","software","high","known procurement saas"
"ashby","openai","ai","high","known company"
"ashby","oplabs","crypto","high","known Optimism developer"
"ashby","orb","software","high","known billing saas"
"ashby","orbital","software","low","unrecognized, sales-heavy titles"
"ashby","oso","software","high","known dev tools"
"ashby","ostium","crypto","high","known perp DEX"
"ashby","output","ai","medium","titles: pretraining, bio data"
"ashby","outtake","ai","medium","known AI security startup"
"ashby","oxman","professional_services","medium","known design lab"
"ashby","pactfi","fintech_finance","medium","loan syndication fintech"
"ashby","paireyewear","consumer_goods","high","known eyewear brand"
"ashby","parabola-io","software","high","known company"
"ashby","partiful","software","high","known company, events app"
"ashby","patlytics","ai","high","known company, patent AI"
"ashby","pear-vc","software","medium","vc firm posting for portfolio startups"
"ashby","peec","software","medium","AI search analytics saas"
"ashby","percepta","ai","high","titles: applied AI"
"ashby","permitflow","software","high","construction permitting saas"
"ashby","perplexity","ai","high","known company"
"ashby","phare-r1-r37","ai","medium","titles: clinical AI agents"
"ashby","pilot-fiber","industrial_construction","high","known fiber ISP"
"ashby","pinecone","software","high","known vector database"
"ashby","pivotal-health","software","medium","health systems software"
"ashby","plaid","fintech_finance","high","known company"
"ashby","playground","software","medium","childcare management saas"
"ashby","podium-automation","industrial_construction","low","unrecognized, assembly technician titles"
"ashby","polymarket","crypto","high","known prediction market"
"ashby","posh","software","high","known events platform"
"ashby","prior-labs","ai","high","foundation model lab"
"ashby","probook","ai","medium","titles: forward deployed, deployment"
"ashby","profound","ai","medium","AI search visibility startup"
"ashby","prosper-ai","ai","medium","ai for health systems"
"ashby","radar","software","medium","geolocation SaaS, gaming compliance"
"ashby","rain","crypto","medium","stablecoin card issuer"
"ashby","ramp","fintech_finance","high","known company"
"ashby","range","fintech_finance","high","known wealth management"
"ashby","raylu-ai","ai","medium","slug ai, AI engineer titles"
"ashby","realitydefender","ai","high","known company"
"ashby","rebecca-school","education","high","titles: teachers, paraprofessional"
"ashby","reducto","ai","high","known document AI"
"ashby","reflectionai","ai","high","ai lab"
"ashby","reflexrobotics","industrial_construction","medium","robotics hardware titles"
"ashby","relayfi","fintech_finance","high","known business banking"
"ashby","replit","software","high","known company"
"ashby","rho","fintech_finance","high","known company"
"ashby","rilla","software","medium","speech analytics saas"
"ashby","rillet","software","high","known accounting saas"
"ashby","rogo","ai","high","known finance AI"
"ashby","root-access","industrial_construction","low","hardware plus ML titles"
"ashby","rothys","consumer_goods","high","known company"
"ashby","runlayer","ai","medium","titles: agents, control plane"
"ashby","runway-ml","ai","high","known company"
"ashby","safelease","fintech_finance","medium","self-storage insurance"
"ashby","sailorhealth","healthcare","high","titles: clinical care, remote"
"ashby","sana-roles","ai","high","known company"
"ashby","sandbar","ai","medium","titles: ML audio, lab"
"ashby","sandstone","ai","low","unrecognized, AI titles"
"ashby","sapien","ai","medium","AI startup, applied AI titles"
"ashby","savvy","fintech_finance","high","known wealth management"
"ashby","scan-com","healthcare","medium","titles: imaging centers, patients"
"ashby","scrunch","software","medium","ai search analytics saas"
"ashby","sei-labs","crypto","high","L1 blockchain"
"ashby","sent","software","medium","messaging api startup"
"ashby","sequence","software","low","unrecognized, generic titles"
"ashby","serval","ai","medium","AI IT service desk"
"ashby","shepherd","fintech_finance","medium","construction insurtech"
"ashby","shiftsmart","staffing","medium","labor marketplace"
"ashby","siena","ai","high","known company, ai agents"
"ashby","signalfire","software","medium","vc firm posting for portfolio startups"
"ashby","simpleclosure","software","medium","startup shutdown platform"
"ashby","siro","software","medium","AI sales coaching saas"
"ashby","snowflake","software","high","known company"
"ashby","sola","ai","medium","AI automation titles"
"ashby","st-labs","software","low","unrecognized, generic startup titles"
"ashby","stack-ai","ai","high","known company"
"ashby","standardbots","industrial_construction","high","known robotics manufacturer"
"ashby","starbridge","ai","medium","AI for public sector sales"
"ashby","stellar","crypto","high","known company"
"ashby","stellar-health","software","medium","value-based care SaaS for providers"
"ashby","stepful","education","high","healthcare training edtech"
"ashby","stuut-ai","ai","medium","AI AR automation"
"ashby","suno","ai","high","known company, music ai"
"ashby","sunset","software","medium","startup wind-down platform"
"ashby","superdial","ai","high","known AI phone agents healthcare"
"ashby","synthesia","ai","high","known company"
"ashby","tabs","software","medium","billing saas startup"
"ashby","take2","ai","medium","titles: voice ai, applied ai"
"ashby","taktile","software","high","known decisioning software"
"ashby","talentful","staffing","high","known embedded recruiting firm"
"ashby","talkiatry","healthcare","high","known psychiatry provider"
"ashby","talos-trading","crypto","high","known crypto trading infra"
"ashby","taptapsend","fintech_finance","high","known remittance app"
"ashby","teleskope","software","medium","known data security"
"ashby","tempo-xyz","crypto","medium","stablecoin payments blockchain"
"ashby","tenexlabs","ai","medium","titles: ai strategists"
"ashby","tennr","ai","high","known healthcare ai company"
"ashby","terrarium","unknown","low","venture studio, unclear"
"ashby","thera","software","low","unrecognized, generic titles"
"ashby","thread-ai","ai","high","titles: applied AI"
"ashby","titan","fintech_finance","high","investing app"
"ashby","titan-msp","ai","medium","AI agents for MSPs"
"ashby","tomo","fintech_finance","high","known mortgage lender"
"ashby","tonal","consumer_goods","high","known fitness hardware"
"ashby","topline-pro","software","medium","home services saas"
"ashby","traba","staffing","medium","light industrial labor marketplace"
"ashby","triedge-investments","fintech_finance","low","private credit plus healthcare titles"
"ashby","trulioo","software","high","known identity verification"
"ashby","turnkey","crypto","high","known company"
"ashby","uipath","software","high","known company"
"ashby","uncountable","software","high","known R&D saas"
"ashby","uniswap","crypto","high","known protocol"
"ashby","united-talent-agency","media_advertising","high","known talent agency"
"ashby","valon","fintech_finance","high","known mortgage servicer"
"ashby","valthos","ai","medium","AI biosecurity startup"
"ashby","vendelux","software","medium","event intelligence saas"
"ashby","versemedical","healthcare","medium","known dme provider"
"ashby","vibe","software","medium","ctv adtech platform"
"ashby","vidmob","software","high","known creative adtech"
"ashby","warp","software","medium","payroll or dev tool startup"
"ashby","watershed","software","high","known company, climate saas"
"ashby","wealth-com","fintech_finance","high","estate planning platform"
"ashby","whatnot","software","high","live shopping marketplace"
"ashby","withpulley","software","medium","permitting software"
"ashby","wordsmith","ai","medium","legal AI startup"
"ashby","writer","ai","high","known company"
"ashby","zeromark","government_public","medium","defense hardware"
"ashby","zip","software","high","known company, procurement"
"bamboohr","aeis","industrial_construction","medium","titles: welding, civil inspectors"
"bamboohr","andromeda","industrial_construction","medium","titles: concrete, estimator"
"bamboohr","assistambulance","healthcare","medium","titles: EMT, paramedic, ambulance"
"bamboohr","bhsconstruction","industrial_construction","high","titles: carpenter, superintendent"
"bamboohr","bonhams","retail","medium","known auction house"
"bamboohr","bowery","nonprofit_social_services","high","bowery mission"
"bamboohr","bricartsmedia","nonprofit_social_services","high","known org, BRIC arts nonprofit"
"bamboohr","brooklynlaboratoryschool","education","high","titles: teachers, charter school"
"bamboohr","buj","nonprofit_social_services","medium","legal services nonprofit titles"
"bamboohr","cacindinc","industrial_construction","medium","titles: estimator"
"bamboohr","centralchurchnyc","nonprofit_social_services","high","titles: church ministry"
"bamboohr","cetraruddy","professional_services","high","known architecture firm"
"bamboohr","danaco","consumer_goods","high","titles: intimate apparel"
"bamboohr","dorepartnership","staffing","high","titles: executive search"
"bamboohr","earthbound","consumer_goods","medium","brand licensing, home products"
"bamboohr","eastdilsecured","fintech_finance","high","known real estate investment bank"
"bamboohr","exaltyouth","nonprofit_social_services","high","known nonprofit, court liaison"
"bamboohr","fxcollaborative","professional_services","high","known architecture firm"
"bamboohr","gradient","media_advertising","medium","titles: experiential agency"
"bamboohr","groundupinternational","consumer_goods","high","known footwear company"
"bamboohr","hudsonguild","nonprofit_social_services","high","known settlement house"
"bamboohr","infiniteglobal","media_advertising","high","pr agency"
"bamboohr","innovationhighschool","education","medium","titles: teachers, deans"
"bamboohr","jfknto","industrial_construction","low","airport terminal development"
"bamboohr","johnmini","industrial_construction","low","landscaping services"
"bamboohr","lct","nonprofit_social_services","high","lincoln center theater"
"bamboohr","marqueebrands","consumer_goods","high","known company, brand owner"
"bamboohr","masoninteractive","media_advertising","high","digital marketing agency titles"
"bamboohr","mdotm","fintech_finance","medium","AI investment platform"
"bamboohr","myitcrew","professional_services","medium","titles: MSP IT support"
"bamboohr","ninthwave","software","medium","known financial data software"
"bamboohr","nycballet","nonprofit_social_services","high","known arts nonprofit"
"bamboohr","nyctourism","nonprofit_social_services","medium","destination marketing nonprofit"
"bamboohr","paleycenter","nonprofit_social_services","high","known media museum nonprofit"
"bamboohr","pen","nonprofit_social_services","high","known PEN America"
"bamboohr","phillipsauctioneers","retail","medium","art auction house"
"bamboohr","poc","real_estate_proptech","low","titles: janitorial only"
"bamboohr","podhealth","healthcare","medium","titles: medical assistants, dietitians"
"bamboohr","prospect","fintech_finance","high","prospect capital, investment titles"
"bamboohr","rapidratings","software","medium","financial risk data saas"
"bamboohr","rethinkfood","nonprofit_social_services","high","known nonprofit"
"bamboohr","royalcertified","healthcare","medium","titles: nursing, therapy"
"bamboohr","sohodragon","staffing","medium","contractor titles, IT consultancy"
"bamboohr","sparbernstein","professional_services","high","immigration law firm"
"bamboohr","sternathometherapy","healthcare","medium","titles: PT/OT"
"bamboohr","studios","professional_services","high","known architecture firm"
"bamboohr","teamargenta","biotech_pharma","high","known animal health CRO"
"bamboohr","thebrandguild","media_advertising","high","known PR agency"
"bamboohr","thelabnyc","media_advertising","medium","creative agency titles"
"bamboohr","thenewgen","media_advertising","medium","influencer marketing agency"
"bamboohr","tnuck","retail","high","tuckernuck, store titles"
"bamboohr","travelzoo","media_advertising","high","known publisher"
"bamboohr","tribecapediatrics","healthcare","high","titles: pediatric medical assistants"
"bamboohr","truecareny","healthcare","high","titles: home care"
"bamboohr","twelvenyc","consumer_goods","medium","packaging and promo products"
"bamboohr","u1sports","education","medium","titles: coaches, enrichment instructors"
"bamboohr","uge","industrial_construction","high","solar developer"
"greenhouse","103644278","consumer_goods","medium","titles match Harry's"
"greenhouse","3redpartners","fintech_finance","high","known trading firm"
"greenhouse","5wpr","media_advertising","high","known PR agency"
"greenhouse","a16z","fintech_finance","high","known VC firm"
"greenhouse","abinbev","consumer_goods","high","known company"
"greenhouse","accelerationpartners","media_advertising","high","known affiliate agency"
"greenhouse","accrue","fintech_finance","medium","payments and loyalty titles"
"greenhouse","aclu","nonprofit_social_services","high","known company"
"greenhouse","adamsclinical","biotech_pharma","high","known clinical trial site"
"greenhouse","adamsstreetpartners","fintech_finance","high","known asset manager"
"greenhouse","addepar1","software","high","known company, wealth software"
"greenhouse","adyen","fintech_finance","high","known company"
"greenhouse","aegworldwide","media_advertising","high","known company"
"greenhouse","agencywithin","media_advertising","high","known performance agency"
"greenhouse","agoda","software","high","known travel marketplace"
"greenhouse","airsculpt","healthcare","high","known cosmetic surgery clinics"
"greenhouse","airtable","software","high","known company"
"greenhouse","alloy","fintech_finance","high","known identity fintech"
"greenhouse","aloyoga","consumer_goods","high","known apparel brand"
"greenhouse","alphafmcroles","professional_services","high","known consulting firm"
"greenhouse","alphasense","software","high","known company"
"greenhouse","alphasights","professional_services","high","known company"
"greenhouse","alphasightsresumedrop","professional_services","high","known company"
"greenhouse","altanaai","ai","high","known company, supply chain AI"
"greenhouse","ambiententerprises","industrial_construction","high","HVAC services"
"greenhouse","amperity","software","high","known customer data saas"
"greenhouse","amplitude","software","high","known company"
"greenhouse","anaplan","software","high","known company"
"greenhouse","animalmedicalcenter","healthcare","medium","veterinary hospital"
"greenhouse","anthropic","ai","high","known company"
"greenhouse","appian","software","high","known company"
"greenhouse","applovin","software","high","known company"
"greenhouse","arcesiumllc","fintech_finance","high","asset manager fintech"
"greenhouse","artefact","professional_services","high","known data consultancy"
"greenhouse","artefactlinkedin","professional_services","high","known data consulting firm"
"greenhouse","artefactus","professional_services","high","known data consulting agency"
"greenhouse","asana","software","high","known company"
"greenhouse","ascendtogether","professional_services","high","accounting firm platform"
"greenhouse","atbayjobs","fintech_finance","high","known cyber insurer"
"greenhouse","atlassp","fintech_finance","high","known securitized products firm"
"greenhouse","attain","software","medium","consumer data adtech"
"greenhouse","attentive","software","high","known company"
"greenhouse","attn","media_advertising","high","known media company"
"greenhouse","audaxgroup","fintech_finance","high","known private equity"
"greenhouse","aura","consumer_goods","high","known company"
"greenhouse","authenticbrandsgroup","consumer_goods","high","known brand licensing"
"greenhouse","authenticinsurance","fintech_finance","medium","titles: underwriter, actuary"
"greenhouse","avepoint","software","high","known company"
"greenhouse","axial","fintech_finance","medium","known M&A deal network"
"greenhouse","axon","industrial_construction","high","known hardware, public safety"
"greenhouse","axq","fintech_finance","medium","titles: quant trading"
"greenhouse","axsometherapeutics","biotech_pharma","high","known company"
"greenhouse","babylist","software","high","known registry marketplace"
"greenhouse","barbarian","media_advertising","high","known creative agency"
"greenhouse","baselayer","ai","medium","agentic identity/KYB AI startup"
"greenhouse","baublebar","consumer_goods","high","known jewelry brand"
"greenhouse","bayada","healthcare","high","known home care"
"greenhouse","beam","education","high","known math nonprofit"
"greenhouse","behavox","software","high","compliance saas"
"greenhouse","betterhelp","healthcare","high","known company"
"greenhouse","betterment","fintech_finance","high","known company"
"greenhouse","biohub","biotech_pharma","medium","known nonprofit research institute"
"greenhouse","bird","logistics_delivery","high","known scooter sharing"
"greenhouse","bitgo","crypto","high","known crypto custodian"
"greenhouse","blankstreet","hospitality_food","high","Blank Street Coffee"
"greenhouse","blinkhealth","healthcare","high","known pharmacy"
"greenhouse","block","fintech_finance","high","known company"
"greenhouse","bloombergorg","nonprofit_social_services","high","known Bloomberg Philanthropies"
"greenhouse","bombas","consumer_goods","high","known company"
"greenhouse","bondvet","healthcare","high","veterinary clinics"
"greenhouse","boxinc","software","high","known company"
"greenhouse","bozzuto","real_estate_proptech","high","known property management"
"greenhouse","brainstation","education","high","bootcamp"
"greenhouse","braze","software","high","known company"
"greenhouse","breezecash","fintech_finance","medium","card issuing, finops titles"
"greenhouse","brex","fintech_finance","high","known company"
"greenhouse","bridgewater89","fintech_finance","high","known company"
"greenhouse","brightcoreenergy","industrial_construction","high","titles: driller, geothermal"
"greenhouse","brillapubliccharterschools","education","high","charter network, teacher titles"
"greenhouse","brunswickgroup","media_advertising","high","known comms advisory"
"greenhouse","bseglobal","media_advertising","high","Brooklyn Nets, Barclays Center"
"greenhouse","btig27","fintech_finance","high","known broker-dealer"
"greenhouse","bubbleskincare","consumer_goods","high","known company, beauty"
"greenhouse","bursonglobalcareers","media_advertising","high","known pr agency"
"greenhouse","bwaltpostings","fintech_finance","high","known Bridgewater Associates"
"greenhouse","c3iot","ai","high","known company, C3.ai"
"greenhouse","cais","fintech_finance","high","known alts platform"
"greenhouse","camp","retail","high","known experiential toy store"
"greenhouse","capstoneinvestmentadvisors","fintech_finance","high","known hedge fund"
"greenhouse","carta","fintech_finance","high","known company"
"greenhouse","carvana","retail","high","known company"
"greenhouse","cbinsights","software","high","known market intelligence SaaS"
"greenhouse","centerforemploymentopportunities","nonprofit_social_services","high","known nonprofit"
"greenhouse","centribusinessconsulting","professional_services","high","known accounting advisory firm"
"greenhouse","charlesriverassociates","professional_services","high","known consulting"
"greenhouse","charliehealth","healthcare","high","virtual mental health care"
"greenhouse","chime","fintech_finance","high","known company"
"greenhouse","chronograph","software","high","pe portfolio software"
"greenhouse","clear","software","high","known company, identity verification"
"greenhouse","clearstreet","fintech_finance","high","known prime broker"
"greenhouse","clearviewhealthcarepartners","professional_services","high","life sciences consulting"
"greenhouse","cleerlyhealth","biotech_pharma","high","known imaging diagnostics"
"greenhouse","clicktherapeutics","biotech_pharma","high","known company"
"greenhouse","clintonfoundation","nonprofit_social_services","high","known foundation"
"greenhouse","coast","fintech_finance","high","known fleet card company"
"greenhouse","cockroachlabs","software","high","known company"
"greenhouse","codeandtheory","media_advertising","high","known digital agency"
"greenhouse","collibra","software","high","known company"
"greenhouse","compasspathways","biotech_pharma","high","known company"
"greenhouse","complyadvantage","software","high","known AML software"
"greenhouse","coneyislandprep","education","high","titles: teachers, charter school"
"greenhouse","connecteam","software","high","known company"
"greenhouse","constrafor","fintech_finance","medium","construction financing"
"greenhouse","convene","hospitality_food","high","known events venues"
"greenhouse","cookunity","hospitality_food","high","meal delivery kitchens"
"greenhouse","coreweave","ai","high","known company, AI infra"
"greenhouse","courierhealth","software","medium","pharma patient engagement software"
"greenhouse","criminaljusticeagency","nonprofit_social_services","high","nyc cja, case manager titles"
"greenhouse","crossmediainc","media_advertising","high","known media agency"
"greenhouse","css","industrial_construction","medium","titles: HVAC technicians"
"greenhouse","current81","fintech_finance","high","known company"
"greenhouse","databricks","software","high","known company"
"greenhouse","datadog","software","high","known company"
"greenhouse","davidzwirnergallery","media_advertising","medium","art gallery"
"greenhouse","daylight","crypto","medium","titles: DeFi, protocol engineer"
"greenhouse","dbeconorthamerica","professional_services","high","known rail consulting"
"greenhouse","dealpath","real_estate_proptech","high","known CRE deal software"
"greenhouse","deepintent","software","high","healthcare adtech platform"
"greenhouse","democracypreppublicschools","education","high","charter network"
"greenhouse","diginn","hospitality_food","high","known restaurant chain"
"greenhouse","diginnother","hospitality_food","high","Dig restaurants, titles: kitchen"
